iter;num;solve;time
0;32;True;0.010008700000000204;
1;32;True;0.010014199999998752;
2;32;True;0.010010399999998754;
3;32;True;0.009985000000000355;
4;32;True;0.010040500000000563;
5;32;True;0.010051699999999997;
6;32;True;0.010009999999999408;
7;32;True;0.010048400000000512;
8;32;True;0.009976200000000546;
9;32;True;0.010021599999999964;
0;33;True;0.008290600000000481;
1;33;True;0.00843170000000093;
2;33;True;0.008247599999998911;
3;33;True;0.008249400000000406;
4;33;True;0.008290699999999873;
5;33;True;0.0083479999999998;
6;33;True;0.008315800000000095;
7;33;True;0.008342000000000738;
8;33;True;0.008291800000000293;
9;33;True;0.008336100000001068;
0;34;True;0.010082300000000544;
1;34;True;0.010132900000000333;
2;34;True;0.010015700000000294;
3;34;True;0.010109100000001092;
4;34;True;0.010053900000000837;
5;34;True;0.00998170000000087;
6;34;True;0.010121500000000339;
7;34;True;0.01008349999999858;
8;34;True;0.010099999999999554;
9;34;True;0.010056600000000415;
0;35;True;0.004833700000000718;
1;35;True;0.004847999999999075;
2;35;True;0.00487850000000023;
3;35;True;0.004854400000001036;
4;35;True;0.0048072000000001225;
5;35;True;0.005081399999999903;
6;35;True;0.00480800000000059;
7;35;True;0.004815699999999978;
8;35;True;0.004868300000000048;
9;35;True;0.00481189999999998;
0;36;True;0.012469799999999864;
1;36;True;0.012546099999999782;
2;36;True;0.012527900000000258;
3;36;True;0.012429699999998434;
4;36;True;0.012478599999999673;
5;36;True;0.012478900000001403;
6;36;True;0.012506200000000689;
7;36;True;0.012465200000001175;
8;36;True;0.012509800000000126;
9;36;True;0.012435200000000535;
0;37;True;0.009239300000000839;
1;37;True;0.009186100000000863;
2;37;True;0.009208100000000385;
3;37;True;0.00919190000000114;
4;37;True;0.00917900000000138;
5;37;True;0.00909329999999997;
6;37;True;0.009197099999999736;
7;37;True;0.009178099999999745;
8;37;True;0.009228699999999534;
9;37;True;0.00916949999999872;
0;38;True;0.009037299999999249;
1;38;True;0.009067200000000497;
2;38;True;0.009017999999999304;
3;38;True;0.009134299999999484;
4;38;True;0.009060399999999191;
5;38;True;0.009112599999999915;
6;38;True;0.009074899999999886;
7;38;True;0.009012000000000242;
8;38;True;0.00906529999999961;
9;38;True;0.009075100000000447;
0;39;True;0.00833420000000018;
1;39;True;0.008575900000000303;
2;39;True;0.008274000000000115;
3;39;True;0.008214999999999861;
4;39;True;0.008315100000000797;
5;39;True;0.008355999999999142;
6;39;True;0.0082677000000011;
7;39;True;0.008356300000000871;
8;39;True;0.008314399999999722;
9;39;True;0.008235899999998963;
0;40;True;0.029860299999999285;
1;40;True;0.030092200000000346;
2;40;True;0.030145400000000322;
3;40;True;0.030074100000000215;
4;40;True;0.02990669999999973;
5;40;True;0.02971789999999963;
6;40;True;0.029952200000000317;
7;40;True;0.030047500000000227;
8;40;True;0.02991090000000085;
9;40;True;0.029785200000000955;
0;41;True;0.16861860000000028;
1;41;True;0.09256629999999966;
2;41;True;0.08203569999999871;
3;41;True;0.1352025999999995;
4;41;True;0.054873000000000616;
5;41;True;0.07801580000000108;
6;41;True;0.09168790000000016;
7;41;True;0.05458229999999986;
8;41;True;0.0512756999999997;
9;41;True;0.07873649999999977;
0;42;True;0.09049409999999902;
1;42;True;0.11103560000000101;
2;42;True;0.07816370000000106;
3;42;True;0.08224949999999964;
4;42;True;0.056754800000000216;
5;42;True;0.08918599999999977;
6;42;True;0.12264369999999936;
7;42;True;0.10542489999999916;
8;42;True;0.08174559999999964;
9;42;True;0.06943509999999975;
0;43;True;0.04274549999999877;
1;43;True;0.04222479999999962;
2;43;True;0.04227880000000006;
3;43;True;0.042075600000000435;
4;43;True;0.04210889999999878;
5;43;True;0.042195000000001315;
6;43;True;0.042021000000000086;
7;43;True;0.042095500000000285;
8;43;True;0.042447100000000404;
9;43;True;0.042330899999999616;
0;44;True;0.04404429999999948;
1;44;True;0.0439387;
2;44;True;0.04425209999999957;
3;44;True;0.04395859999999985;
4;44;True;0.04426920000000045;
5;44;True;0.04409990000000086;
6;44;True;0.04389210000000077;
7;44;True;0.04409640000000081;
8;44;True;0.04413680000000042;
9;44;True;0.043790299999999505;
0;45;True;0.038168699999999944;
1;45;True;0.0377711000000005;
2;45;True;0.03783719999999846;
3;45;True;0.03773230000000005;
4;45;True;0.03748880000000021;
5;45;True;0.03755939999999924;
6;45;True;0.03794300000000028;
7;45;True;0.037868599999999475;
8;45;True;0.037711599999999734;
9;45;True;0.03787520000000022;
0;46;True;0.8498702999999992;
1;46;True;0.16793260000000032;
2;46;True;0.04611009999999993;
3;46;True;0.266164100000001;
4;46;True;0.336271;
5;46;True;0.04620800000000003;
6;46;True;0.28440439999999967;
7;46;True;0.33539830000000137;
8;46;True;0.045873000000000275;
9;46;True;0.14189580000000035;
0;47;True;0.06260719999999864;
1;47;True;0.06231419999999943;
2;47;True;0.05709059999999866;
